Disease,Description
Flu,Flu is a viral infection causing fever cough and headache
Migraine,Migraine is a neurological condition causing severe headaches nausea and vomiting
Dengue,Dengue is a mosquito borne viral infection causing fever joint pain and rash
Malaria,Malaria is caused by parasites transmitted through mosquito bites leading to fever chills and shivering
Typhoid,Typhoid is a bacterial infection causing high fever weakness and abdominal pain
Common Cold,Common cold is a viral infection causing cough sneezing and runny nose
COVID-19,COVID-19 is a viral respiratory illness causing fever cough and breathing issues
Pneumonia,Pneumonia is a lung infection causing fever cough and chest pain
Asthma,Asthma is a chronic condition causing breathing difficulty and chest tightness
Bronchitis,Bronchitis is inflammation of airways causing cough fatigue and breathlessness
Chickenpox,Chickenpox is a viral infection causing fever rash and itching
Measles,Measles is a contagious viral disease causing fever rash and red eyes
Diabetes,Diabetes is a metabolic disorder causing increased thirst urination and fatigue
Hypertension,Hypertension is high blood pressure causing headache dizziness and chest pain
Heart Disease,Heart disease affects heart function causing chest pain and breathlessness
Gastritis,Gastritis is inflammation of stomach lining causing pain nausea and vomiting
Food Poisoning,Food poisoning occurs due to contaminated food causing vomiting diarrhea and stomach pain
Tuberculosis,Tuberculosis is a bacterial infection affecting lungs causing cough and weight loss
Allergy,Allergy is immune response causing sneezing itching and runny nose
Sinusitis,Sinusitis is inflammation of sinuses causing headache and nasal congestion
Anemia,Anemia is a condition with low red blood cells causing fatigue and pale skin
Depression,Depression is a mental health disorder causing sadness fatigue and sleep issues
Arthritis,Arthritis causes joint pain stiffness and swelling
Kidney Stones,Kidney stones are hard deposits causing severe back pain and vomiting
Liver Disease,Liver disease affects liver causing fatigue abdominal pain and yellow skin
